AATS5s,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC3i,AATSC0Z,AATSC2m,AtomicMass,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,37.8,0.937,0.25,166.0,2993.83
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,314.365
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,246.084
10.64102564,-0.872576177,-66.48199446,-82.49993911,-171.0374962,76.06475325,-15.36591958,7.83933518,1.746852814,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,32.2,-0.85,0.25,165.1,1659.51
8.08045977,10.24,-45.48,-88.84582021,5.968041315,85.43943289,-16.83487397,7.14,1.946496089,150.4,229.0,28.8,16.0,5.644,7.52,73.09,36.7,-0.85,0.37,153.0,57.8457
8.08045977,10.24,-45.48,-88.84582021,5.968041315,85.43943289,-16.83487397,7.14,1.946496089,140.90766,239.0,28.2,93.0,5.464,6.77,73.09,36.7,-0.85,0.37,153.0,115.898
8.08045977,10.24,-45.48,-88.84582021,5.968041315,85.43943289,-16.83487397,7.14,1.946496089,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,87.3258
9.730639731,3.08,-49.63,-25.83376716,-40.33740763,-13.73447361,-17.00759267,7.89,2.545874964,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,37.8,0.937,0.25,166.0,398.729
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,192.957
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,2630.89
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,58.93319,192.0,7.5,64.0,7.881,8.86,89.13,37.7,-0.55,0.2,174.0,269.394
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,24.305,173.0,10.6,-40.0,7.646,1.74,89.13,37.7,-0.55,0.2,174.0,355.831
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,65.4,139.0,6.4,-60.0,9.394,7.134,89.13,37.7,-0.55,0.2,174.0,262.852
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,794.132
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,316.837
5.619047619,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,2.728500953,7.555555556,2.702140678,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1586.75
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,112.41,158.0,7.2,-70.0,8.994,8.69,46.07,24.3,-0.31,0.3,78.37,107.907
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,112.41,158.0,7.2,-70.0,8.994,8.69,80.1,3.0,0.75,0.2,115.1,319.265
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,65.4,139.0,6.4,-60.0,9.394,7.134,79.1,12.4,0.68,0.19,115.0,274.166
6.5,-5.884297521,-115.8677686,-166.8862228,-51.03945649,0.0,-2.49472335,9.355371901,7.201228534,65.4,139.0,6.4,-60.0,9.394,7.134,41.05,37.5,0.34,0.26,81.6,41.4524
6.5,-5.884297521,-115.8677686,-166.8862228,-51.03945649,0.0,-2.49472335,9.355371901,7.201228534,65.4,139.0,6.4,-60.0,9.394,7.134,41.05,37.5,0.34,0.26,81.6,55.5812
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,544.24
3.720867209,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,-19.25705899,7.053254438,-0.39660291,114.818,193.0,9.7,29.0,5.786,7.31,41.05,37.5,0.34,0.26,81.6,206.439
5.16374269,3.847750865,-17.37024221,-104.8617421,176.0706254,-7.766032344,-8.349339334,7.467128028,0.791278768,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,203.653
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,84.9,9.1,1.25,0.2,39.6,117.592
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,65.4,139.0,6.4,-60.0,9.394,7.134,101.14,36.7,0.945,0.2,152.0,1264.99
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,141.893
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,89.6182
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,63.55,140.0,6.7,119.0,7.726,8.933,72.1,7.58,0.888,0.22,66.0,492.91
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,24.305,173.0,10.6,-40.0,7.646,1.74,73.09,36.7,-0.85,0.37,153.0,168.531
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,780.611
3.406349206,7.122769064,-45.40075717,-388.8149985,-209.4552147,-83.18651229,-11.4038192,7.223363981,0.034641831,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,339.46
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,615.338
1.0,5.5,-3.5,-88.06441393,69.19802825,0.0,0.069150389,8.1875,5.4849955,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,1617.83
3.515151515,-9.0,3.0,-233.8056233,619.5860344,-1090.310193,-29.09014543,6.25,-2.890111,65.4,139.0,6.4,-60.0,9.394,7.134,276.3,31.206962209302326,3.5,0.31,213.0,1271.84
3.05026455,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,-21.2120641,6.955017301,-0.588251461,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,945.464
5.619047619,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,2.728500953,7.555555556,2.702140678,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,213.293
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.693,163.0,6.8,112.0,7.64,8.912,32.04,32.7,0.791,0.32,65.0,97.4779
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,63.55,140.0,6.7,119.0,7.726,8.933,73.09,36.7,-0.85,0.37,153.0,1225.38
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,158.92535,221.0,25.5,112.0,5.864,8.23,73.09,36.7,-0.85,0.37,153.0,658.055
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,162.5,229.0,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,0.37,153.0,647.3
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,167.26,235.0,22.7,30.0,6.108,9.07,73.09,36.7,-0.85,0.37,153.0,599.904
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,167.26,235.0,22.7,30.0,6.108,9.07,73.09,36.7,-0.85,0.37,153.0,624.53
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,173.05,242.0,21.0,-2.0,6.254,6.9,73.09,36.7,-0.85,0.37,153.0,580.483
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1196.38
5.619047619,9.333333333,-7.444444444,-141.6918397,-52.99056242,81.84243715,2.728500953,7.555555556,2.702140678,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,32.2,-0.85,0.25,165.1,919.282
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,150.4,229.0,28.8,16.0,5.644,7.52,73.09,36.7,-0.85,0.37,153.0,126.264
5.956521739,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,-13.6613542,7.728395062,0.602016249,151.964,233.0,27.7,83.0,5.67,5.24,73.09,36.7,-0.85,0.37,153.0,132.507
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,8.114
21.79166667,0.0,-59.0,-206.4246725,22.25755962,0.0,-3.07852192,8.666666667,2.041973111,158.92535,221.0,25.5,112.0,5.864,8.23,73.09,36.7,-0.85,0.37,153.0,592.245
5.182222222,14.88888889,8.888888889,-109.2228995,-493.3278434,158.9044906,-2.779407101,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,46.07,24.3,-0.31,0.3,78.37,51.8454
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,448.846
11.67102397,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,-9.325384487,7.243055556,2.879117987,58.693,163.0,6.8,112.0,7.64,8.912,46.07,24.3,-0.31,0.3,78.37,754.543
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,58.693,163.0,6.8,112.0,7.64,8.912,72.1,7.58,0.888,0.22,66.0,279.224
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,207.0,202.0,6.8,34.0,7.417,11.342,73.09,36.7,-0.85,0.37,153.0,42.7149
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,1283.96
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,63.55,140.0,6.7,119.0,7.726,8.933,73.09,36.7,-0.85,0.37,153.0,1154.89
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,63.55,140.0,6.7,119.0,7.726,8.933,74.1,14.4,0.88,0.28,117.7,1430.723
5.821548822,14.01,-36.27,4.290158193,-54.96179564,-26.82533688,-18.95587204,7.91,4.203716805,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,334.611
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.93319,192.0,7.5,64.0,7.881,8.86,32.04,32.7,0.791,0.32,65.0,340.544
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,54.93804,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,0.32,65.0,341.169
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.693,163.0,6.8,112.0,7.64,8.912,32.04,32.7,0.791,0.32,65.0,579.49
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,1711.794
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1815.746
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,54.93804,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,766.771
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,600.401
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,1235.758
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,100.16,2.02,0.778,0.28,81.0,1604.56
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,92.1,2.4,2.5,0.29,110.6,1380.91
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,208.9804,207.0,7.4,91.0,7.289,9.807,32.04,32.7,0.791,0.32,65.0,394.9949
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,173.05,242.0,21.0,-2.0,6.254,6.9,73.09,36.7,-0.85,0.37,153.0,142.407
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,63.55,140.0,6.7,119.0,7.726,8.933,87.12,32.2,-0.85,0.25,165.1,921.763
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1984.07
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,2973.26
6.089439787,1.0,-90.0,-42.03469954,0.0,0.0,1.412091599,9.5,15.82330225,7.0,182.0,24.3,60.0,5.392,0.534,72.1,7.58,0.888,0.22,66.0,164.488
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,16.4978
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,32.2,-0.85,0.25,165.1,578.34
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,112.41,158.0,7.2,-70.0,8.994,8.69,46.07,24.3,-0.31,0.3,78.37,1274.01
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,0.3,78.37,845.878
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,24.305,173.0,10.6,-40.0,7.646,1.74,106.2,2.7,3.15,0.24,166.0,460.437
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,2046.13
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,2046.26
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1512.11
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1512.14
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,41.05,37.5,0.34,0.26,81.6,38.2354
7.862068966,9.01,-66.27,4.290158193,-355.2791089,69.38641121,-16.76817217,7.91,4.203716805,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,32.2,-0.85,0.25,165.1,2106.7
5.934240363,14.33136095,22.18343195,-140.2220272,-134.711756,445.352123,-8.323233611,7.053254438,-0.39660291,162.5,229.0,24.5,34.0,5.939,8.55,74.1,14.4,0.88,0.28,117.7,52.3486
21.79166667,0.0,-59.0,-206.4246725,22.25755962,0.0,-3.07852192,8.666666667,2.041973111,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,37.8,0.937,0.25,166.0,788.324
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,123.11,35.3,1.6,0.21,210.0,2049.59
5.132132132,2.0,-90.0,-51.59703123,370.5888096,90.71483263,-21.43958889,7.294117647,1.543624954,114.818,193.0,9.7,29.0,5.786,7.31,87.12,37.8,0.937,0.25,166.0,2668.89
10.64102564,-0.872576177,-66.48199446,-82.49993911,-171.0374962,76.06475325,-15.36591958,7.83933518,1.746852814,65.4,139.0,6.4,-60.0,9.394,7.134,87.12,32.2,-0.85,0.25,165.1,1528.62
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,1023.79
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,32.2,-0.85,0.25,165.1,657.007
6.003623188,3.508899389,-332.6666667,-41.20105414,-86.69556581,97.26378865,-14.64088147,54.11111111,-1.118898068,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1224.26
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,273.439
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,238.0289,240.0,27.4,51.0,6.194,18.95,73.09,36.7,-0.85,0.37,153.0,817.099
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,854.502
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1512.35
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1552.38
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1470.06
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,589.033
5.182222222,14.88888889,8.888888889,-109.2228995,-493.3278434,158.9044906,-2.779407101,7.222222222,0.202953053,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,1341.675
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,954.216
1.0,-30.18,-125.85,55.00385896,726.9504707,0.0,10.7960044,6.69,-2.894982731,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1844.06
1.0,-30.18,-125.85,55.00385896,726.9504707,0.0,10.7960044,6.69,-2.894982731,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1790.57
4.866666667,-4.326530612,-13.7755102,-126.5633675,87.63283563,0.0,-13.41592119,7.530612245,-3.129332876,58.93319,192.0,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,0.3,78.37,231.628
4.866666667,-4.326530612,-13.7755102,-126.5633675,87.63283563,0.0,-13.41592119,7.530612245,-3.129332876,58.93319,192.0,7.5,64.0,7.881,8.86,28.0,31.206962209302326,0.2,0.2,-103.7,299.138
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,947.511
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,1435.62
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,112.41,158.0,7.2,-70.0,8.994,8.69,87.12,37.8,0.937,0.25,166.0,1815.4
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,30.1,1.0,0.1,0.0,-88.6,1317.52
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,30.1,1.0,0.1,0.0,-88.6,1214.69
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,16.04,32.7,-0.24,0.18,-161.5,1476.2
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,16.04,32.7,-0.24,0.18,-161.5,1443.41
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,30.1,1.0,0.1,0.0,-88.6,1355.39
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,16.04,32.7,-0.24,0.18,-161.5,1452.53
1.0,-5.555555556,-79.77777778,-38.5420247,267.0900931,0.0,11.12972077,7.222222222,3.174938037,65.4,139.0,6.4,-60.0,9.394,7.134,16.04,32.7,-0.24,0.18,-161.5,1353.96
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,58.93319,192.0,7.5,64.0,7.881,8.86,84.1,3.9,2.7,0.27,84.0,138.2
5.619047619,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,-18.63677144,14.38222222,2.971853306,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,353.419
2.5,-28.08,-37.42,-168.53654,-97.35287001,0.0,5.60363627,6.49,-6.11030994,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,583.663
5.821548822,14.01,-36.27,4.290158193,-54.96179564,-26.82533688,-18.95587204,7.91,4.203716805,114.818,193.0,9.7,29.0,5.786,7.31,32.04,32.7,0.791,0.32,65.0,1711.53
7.015873016,2.847750865,-22.37024221,-104.8617421,47.33800624,79.5168395,-0.694726781,7.467128028,0.791278768,24.305,173.0,10.6,-40.0,7.646,1.74,79.1,12.4,0.68,0.19,115.0,934.98
7.015873016,2.847750865,-22.37024221,-104.8617421,47.33800624,79.5168395,-0.694726781,7.467128028,0.791278768,24.305,173.0,10.6,-40.0,7.646,1.74,92.14,2.38,2.73,0.18,110.6,1016.12
7.015873016,2.847750865,-22.37024221,-104.8617421,47.33800624,79.5168395,-0.694726781,7.467128028,0.791278768,24.305,173.0,10.6,-40.0,7.646,1.74,106.17,2.49,3.15,0.17,169.0,948.823
7.015873016,2.847750865,-22.37024221,-104.8617421,47.33800624,79.5168395,-0.694726781,7.467128028,0.791278768,24.305,173.0,10.6,-40.0,7.646,1.74,106.17,2.49,3.15,0.17,169.0,989.024
7.015873016,2.847750865,-22.37024221,-104.8617421,47.33800624,79.5168395,-0.694726781,7.467128028,0.791278768,24.305,173.0,10.6,-40.0,7.646,1.74,128.16,2.48,3.15,0.19,176.0,966.949
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,427.506
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,114.818,193.0,9.7,29.0,5.786,7.31,89.13,37.7,-0.55,0.2,174.0,2007.1
6.222222222,-4.211072664,-38.5467128,-30.12566296,91.82694363,79.5168395,-24.15715809,7.467128028,-0.123804066,54.93804,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,256.983
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,46.07,24.3,-0.31,0.3,78.37,127.135
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,181.4575
