AATS5s,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC3i,AATSC0Z,AATSC2m,AtomicMass,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,54.93804,197.0,9.4,-50.0,7.434,7.3,87.12,32.2,-0.85,0.25,165.1,1387.32
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,797.362
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,970.589
3.720867209,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,-19.25705899,7.053254438,-0.39660291,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,858.463
3.720867209,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,-19.25705899,7.053254438,-0.39660291,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,1493.59
3.720867209,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,-19.25705899,7.053254438,-0.39660291,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,1126.91
3.05026455,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,-21.2120641,6.955017301,-0.588251461,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,380.572
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,69.723,187.0,8.1,41.0,5.999,5.91,79.1,12.4,0.68,0.19,115.0,951.221
1.98,-32.1183432,-68.30177515,-262.3018224,674.3291608,20.2697415,-3.734622442,6.639053254,-4.935734901,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,169.769
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,845.188
3.720867209,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,-19.25705899,7.053254438,-0.39660291,114.818,193.0,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,0.37,153.0,3337.76
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,508.635
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,2255.4
1.902298851,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-2.986244747,6.639714625,-4.781989446,112.41,158.0,7.2,-70.0,8.994,8.69,46.07,24.3,-0.31,0.3,78.37,3365.06
1.902298851,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-2.986244747,6.639714625,-4.781989446,54.93804,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,0.32,65.0,4539.72
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,702.494
