mof,AATS8m,ATSC6c,ATSC2d,ATSC4d,ATSC8d,ATSC1p,ATSC3p,ATSC1i,ATSC3i,AATSC0m,AATSC8v,GATS3c,GATS4dv,GATS1v,GATS5p,BCUTm-1l,MINdssC,AETA_eta_FL,ZMIC1,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
HOVQAM_clean,69.7646924,-0.038626764,-4.081632653,-2.734693878,-4.653061224,0.513592794,-1.472456029,2.179731276,-5.726391122,31.257676,-21.80106919,0.594087619,0.952879581,0.785496513,1.137305714,11.68990945,-1.201626316,0.310052359,46.05096244,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,14,80,72,4602.56977
KUHNEI_clean,13.1048064,-0.220375506,-0.875,-11.25,5.625,1.607785695,-1.434921216,9.126289891,-9.325384487,33.54745824,18.48932439,0.654480144,1.043013891,0.601202732,1.081050527,11.6902141,-1.660334467,0.288201079,54.15839793,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,87.12,165,37.8,-0.77,0,1,0.25,,85,48,440.1139
YICGOI_clean,78.50759806,0.097823554,-6.715130341,-14.58478904,-19.24563289,-0.297960246,0.518794409,-12.13568424,18.34743142,30.26919466,8.095596396,1.219678523,1.049143193,0.815829404,1.130609061,11.69437751,-1.201626316,0.324315753,97.38012052,0.197122743,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,85,72,265.6262042
LASWIN_clean,53.11604345,-0.035544505,-2.32,-3.54,0,-0.312419267,-0.146509697,-6.672990632,5.60363627,31.17136264,12.40347996,0.904965454,0.891739675,0.854775937,1.147887577,11.70999665,-1.201626316,0.336279042,31.98506523,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,90,72,347.690461
OKIPOO_clean,76.05997408,-0.20362677,-6.272846811,-3.509533202,-5.823800131,-1.092668595,-0.696515336,-21.09207344,2.683083764,32.78502561,7.261798872,1.220945081,1.031057127,0.892448535,1.130956466,11.7104721,-1.201626316,0.303125634,47.66192043,0.063267014,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,90,72,179.785898
AJAMEF_clean,43.53202424,0.022785214,-3.720570749,-1.562425684,1.774078478,-0.365224869,-1.299797455,-9.032675066,-3.896756974,30.59609303,-2.691469122,0.792916795,0.885306305,0.826942264,0.954861947,11.70276289,-1.201626316,0.332695223,47.71326716,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,87.12,165,37.8,-0.77,0,1,0.25,,95,72,118.0016222
TILHAZ_clean,16.126992,-0.498239661,-4.08,0.16,0.64,0.11351431,-0.330160924,0.597523727,-1.811831412,41.58715809,-17.76143433,0.729771116,1.052317655,1.191530316,0.817311013,11.83006843,-0.870010393,0.179646536,27.48366657,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,46.068,78.2,24.5,-0.31,1,1,0.3,,100,24,1669.562532
YODRAM_clean,53.11604345,-0.028679387,-2.87755102,-1.076530612,0,0.118706081,-1.240526058,-2.403599661,-5.761308638,35.44306652,12.40347996,0.738056826,1.30875153,0.828023649,0.404065107,11.7355373,-0.919074074,0.318906442,19.93194522,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,100,24,1436.211045
GOBSUM_clean,16.126992,-0.375085452,-5.111111111,0.888888889,1.777777778,0.82618979,-2.226927701,4.879682183,-13.6613542,36.15315736,-3.796086632,0.64561009,1.380681818,0.736398353,0.656084432,11.70043096,-1.063019652,0.298157506,33.93016113,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,100,36,1290.092561
PASNAA01_clean,11.090016,0.472481802,2.666666667,-32,8,1.976286704,-0.054842799,10.93305651,-0.001153303,40.18891489,15.74223925,0.660573936,0.946180556,0.802394409,1.076535617,11.76898912,-2.045241875,0.218090268,77.54887502,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,14,100,48,575.3417452
QUFKIN_clean,53.11604345,0.097337357,-0.44,-5.6,0,-0.101883533,-1.052168183,-16.40572396,-8.747683495,32.66933622,12.40347996,0.973132561,1.303651685,0.73036668,0.987570235,11.78495697,-1.201626316,0.329524267,23.38063809,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,,100,48,167.3657182
ADASUV_clean,80.37975088,1.060365019,-15.1875,-8.25,7.5,1.996084405,-10.71806864,10.95828533,-62.36417298,35.62107631,-9.022976552,0.74745806,1.023802469,0.782175374,1.14206076,11.69594426,-1.377243503,0.287978015,104.8650406,0.470156107,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,105,23,3386.133455
LAZHUR_clean,59.32833367,0.250793634,-14.0166205,12.05540166,4.055401662,-2.188532708,-8.946775193,-25.36836491,-44.05185372,34.62219215,19.30603984,1.599303724,1.312460752,0.985259082,1.134800225,11.74770363,-1.201626316,0.299539913,73.07149612,0.097949189,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,105,72,189.7694727
XORHET_clean,66.73342576,0.04334529,-1.066115702,-2.016528926,0.049586777,-0.485048615,0.048019593,-16.42090333,17.04726974,29.29111055,-1.98476244,0.69890408,0.947580645,0.782220375,0.964465205,11.81677158,-1.201626316,0.333827813,31.72142785,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,,105,72,539.6776092
ZOFZOL_clean,78.57111308,1.203413394,-8.870625,4.248125,-7.8075,1.786201207,-4.331350603,16.54885759,-32.14673472,32.4525163,13.51399554,0.602516139,1.102738962,0.681781671,1.075632403,11.69374018,-1.338010973,0.296858598,64.86058471,0.281195796,27,58.9332,192,4.3,7.5,64,7.881,8.86,101.147,177,9.2,-0.52,0,1,0.2,2.4,110,48,3527.307378
ETEMIB_clean,1.016064,2.000772516,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,-17.17443023,35.1171682,81.72840318,0.597938845,1.210144928,0.665297038,1.504254123,11.69541116,-1.374444444,0.29112234,43.31347594,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,14,110,72,167.4388226
