AATS4s,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC5dv,AATSC4Z,AATSC0v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBA,MPC,Boiling Point (°C),Target
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.32471
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,1.39505
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,1.3731
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,67.0,164.93033,216.0,3.1,23.6,33.0,6.022,8.8,73.09,36.7,-0.85,2.0,0.37,153.0,1.69974
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,69.0,168.93422,227.0,3.1,21.8,99.0,6.184,9.32,73.09,36.7,-0.85,2.0,0.37,153.0,1.75133
6.900383142,174.5860367,-4.211072664,-30.1349481,126.9411765,-476.228019,4.899709962,91.82694363,1.075936332,4.96450468,1.258362168,-1.39004892,38.72707241,33.19105079,6.828547389,0.478,12.0,24.305,173.0,3.75,10.6,-40.0,7.646,1.74,73.09,36.7,-0.85,2.0,0.37,153.0,1.16504
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,46.07,24.3,-0.31,1.0,0.3,78.37,1.04668
5.0,169.1825683,1.3125,-34.875,135.75,-133.6042903,10.2500609,9.583532402,-1.23140625,2.142741284,-0.78125,-0.196875,42.71128639,23.390875,6.757084721,0.268,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.17959
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.0,0.18,-161.5,1.23442
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.0,0.18,-161.5,1.24012
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.0,0.18,-161.5,1.24704
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,21.0,44.95591,211.0,3.34,17.8,18.0,6.561,2.99,16.04,32.7,-0.24,0.0,0.18,-161.5,1.2661
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.16011
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,0.798074
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,1.47326
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.01539
4.274074074,157.6435699,1.0,-45.5,203.0,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,0.305555556,-2.116666667,46.91945671,23.78241367,6.836984153,2.75,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.23115
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.11147
4.274074074,157.6435699,1.0,-45.5,203.0,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,0.305555556,-2.116666667,46.91945671,23.78241367,6.836984153,2.75,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,41.05,37.5,0.34,1.0,0.26,81.6,1.07568
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,46.07,24.3,-0.31,1.0,0.3,78.37,1.37295
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.32656
2.490196078,172.8966427,-28.08,-29.42,129.8,-120.0865862,-458.5185535,-97.35287001,-0.042336,17.32369574,0.585,-1.160588235,50.28462104,22.73366526,0.0,2.1436,29.0,63.55,140.0,4.48,6.7,119.0,7.726,8.933,41.05,37.5,0.34,1.0,0.26,81.6,1.23068
9.055555556,174.4868462,3.08,-39.83,157.8,-361.7364237,-525.6095415,-40.33740763,-2.239168,3.574934718,-0.244545455,-0.57,38.65938397,29.50728067,10.35516291,0.4942,59.0,140.90766,239.0,3.1,28.2,93.0,5.464,6.77,73.09,36.7,-0.85,2.0,0.37,153.0,1.49029
4.363247863,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,0.706349206,-1.888888889,45.02791735,25.13285217,6.848610706,2.2362,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.08572
5.576388889,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,0.402039721,-2.023533951,42.93582616,26.3638878,6.828547389,1.083,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,0.994088
5.595679012,178.4766186,-0.872576177,-39.95567867,148.9473684,-479.2679442,5.313848326,-171.0374962,-0.822231579,7.749371444,1.383336885,-0.478224069,40.68554192,28.99300178,8.591393826,0.7886,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.02665
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,66.0,162.5,229.0,3.1,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,2.0,0.37,153.0,1.75771
3.628841608,163.5479851,-13.11111111,-36.33333333,167.3333333,-258.8195967,-611.9307689,52.37720138,0.637311111,-2.198696973,0.413436693,-1.725768322,48.34387423,26.90728889,3.418158314,2.4468,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,0.933785
4.858333333,155.9380745,2.0,-72.0,248.0,-759.8481655,10.48444149,370.5888096,2.212167474,14.31855002,1.162162162,-1.45,40.7487866,27.40525765,13.70205868,2.1464,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,0.962712
6.325,181.0122309,10.24,-36.08,142.8,-417.6057987,1.141023058,5.968041315,3.502064,7.928130688,1.504827586,-1.875,34.66898892,36.82622382,10.25825415,0.9912,64.0,157.2,237.0,3.1,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,2.0,0.37,153.0,1.59114
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.18548
4.60515873,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-0.034284582,-2.297010362,45.3051226,27.72198532,8.902059979,2.8753,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.03982
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.20669
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.22825
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.20842
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,87.12,32.2,-0.85,2.0,0.25,165.1,1.12286
