code,SMILES,Metal,solvents,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBD,HBA,MPC,Boiling Point (°„C),Density
ARADEE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Cd,ammonia,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,48,112.41,158,4.33,7.2,-70,8.994,8.69,17.03,22.2,-0.23,1,1,0.3,-33.34,1.42129
ARUCIB,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Co,diethylformamide,6.0625,5.576388889,159.2036613,176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,-210.5786884,56.05095496,1.733906173,6.506242911,-1.152006173,0.402039721,-2.023533951,42.93582616,5.672705364,26.3638878,6.828547389,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,89.13,37.7,-0.55,1,2,0.2,174,1.18974
ATIBOU02,C(=O)O,Mn,"N,N-dimethylformamide",6.105972211,5.581980186,173.5064463,169.7560012,-8.64,-1.12,50.8,27.7819722,0,0,0,0,-0.924871318,0.983015531,-1.75733888,34.11764866,-7.663402001,21.37334811,3.207106781,-0.2992,25,54.93804,197,3.72,9.4,-50,7.434,7.3,73.09,36.7,-0.85,1,2,0.37,153,1.58929
ATOWIQ,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,methylamine,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,31.06,5.1,0.23,1,1,0.19,-6.3,0.866753
ATOWOW,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylamine,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,45.09,3.9,0.67,1,1,0.2,3.2,0.865493
ATOXEN,C1=CC(=CC=C1C(=O)O)C(=O)O,Zn,dimethylformamide,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,30,65.4,139,4.45,6.4,-60,9.394,7.134,73.09,36.7,-0.85,1,2,0.37,153,1.32471
AVAQIX,C1=CN=CC=C1C(=O)O,Cd,dimethylformamide,4.526315789,5.280701754,161.9640736,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0,-1.177228786,0.695578231,-2.169709989,44.15534175,1.211667415,31.18866227,3.407582445,0.7798,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.39505
AVAQIX01,C1=CN=CC=C1C(=O)O,Cd,"N,N-dimethylformamide",4.526315789,5.280701754,161.9640736,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0,-1.177228786,0.695578231,-2.169709989,44.15534175,1.211667415,31.18866227,3.407582445,0.7798,48,112.41,158,4.33,7.2,-70,8.994,8.69,73.09,36.7,-0.85,1,2,0.37,153,1.3731
AVIHIY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Ho,"N,N-dimethylformamide",8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,67,164.93033,216,3.1,23.6,33,6.022,8.8,73.09,36.7,-0.85,1,2,0.37,153,1.69974
AVIHOE,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Tm,"N,N-dimethylformamide",8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,69,168.93422,227,3.1,21.8,99,6.184,9.32,73.09,36.7,-0.85,1,2,0.37,153,1.75133
AVIPOL,C1=C(C=NC=C1C(=O)O)C(=O)O,Mg,"N,N-dimethylformamide",8.206896552,6.900383142,162.6584682,174.5860367,-4.211072664,-30.1349481,126.9411765,-476.228019,4.899709962,91.82694363,1.075936332,4.96450468,-0.47321322,1.258362168,-1.39004892,38.72707241,4.373896611,33.19105079,6.828547389,0.478,12,24.305,173,3.75,10.6,-40,7.646,1.74,73.09,36.7,-0.85,1,2,0.37,153,1.16504
AVUCEA,C1=C(C=C(C=C1C(=O)O)C(=O)O)C(=O)O,Co,ethanol,8.285714286,5.865079365,160.1601348,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,-0.918367347,1.734693878,-2.112244898,38.59684834,7.580096337,28.0923986,10.25825415,0.7812,27,58.93319,192,4.3,7.5,64,7.881,8.86,46.07,24.3,-0.31,1,1,0.3,78.37,1.04668
AYOYIY,C(=C/C(=O)O)\C=C\C(=O)O,Co,dimethylformamide,4.5,5,163.2548245,169.1825683,1.3125,-34.875,135.75,-133.6042903,10.2500609,9.583532402,-1.23140625,2.142741284,-0.421875,-0.78125,-0.196875,42.71128639,2.83550119,23.390875,6.757084721,0.268,27,58.93319,192,4.3,7.5,64,7.881,8.86,73.09,36.7,-0.85,1,2,0.37,153,1.17959
BADHIA,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,1.23442
BADHOG,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,1.24012
BADHUM,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,1.24704
BADJAU,C1=CC(=CC=C1C(=O)O)C(=O)O,Sc,methane,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,21,44.95591,211,3.34,17.8,18,6.561,2.99,16.04,32.7,-0.24,0,0,0.18,-161.5,1.2661
