AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC6pe,AATSC5dv,AATSC0v,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,Boiling Point (°C),Target
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,21.0,44.95591,211.0,18.0,6.561,2.99,16.04,32.7,-0.24,-161.5,1.24704
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,21.0,44.95591,211.0,18.0,6.561,2.99,16.04,32.7,-0.24,-161.5,1.2661
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.16011
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,0.798074
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,1.47326
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.01539
157.6435699,1.0,-45.5,203.0,-407.0307408,1.491045918,0.305555556,46.91945671,6.836984153,2.75,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.23115
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.11147
157.6435699,1.0,-45.5,203.0,-407.0307408,1.491045918,0.305555556,46.91945671,6.836984153,2.75,27.0,58.93319,192.0,64.0,7.881,8.86,41.05,37.5,0.34,81.6,1.07568
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,30.0,65.4,139.0,-60.0,9.394,7.134,46.07,24.3,-0.31,78.37,1.37295
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.32656
172.8966427,-28.08,-29.42,129.8,-120.0865862,-0.042336,0.585,50.28462104,0.0,2.1436,29.0,63.55,140.0,119.0,7.726,8.933,41.05,37.5,0.34,81.6,1.23068
174.4868462,3.08,-39.83,157.8,-361.7364237,-2.239168,-0.244545455,38.65938397,10.35516291,0.4942,59.0,140.90766,239.0,93.0,5.464,6.77,73.09,36.7,-0.85,153.0,1.49029
160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-0.822288889,0.706349206,45.02791735,6.848610706,2.2362,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.08572
176.0619818,8.061728395,-24.37037037,139.1111111,-323.8209219,1.733906173,0.402039721,42.93582616,6.828547389,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,0.994088
178.4766186,-0.872576177,-39.95567867,148.9473684,-479.2679442,-0.822231579,1.383336885,40.68554192,8.591393826,0.7886,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.02665
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,66.0,162.5,229.0,34.0,5.939,8.55,73.09,36.7,-0.85,153.0,1.75771
163.5479851,-13.11111111,-36.33333333,167.3333333,-258.8195967,0.637311111,0.413436693,48.34387423,3.418158314,2.4468,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,0.933785
155.9380745,2.0,-72.0,248.0,-759.8481655,2.212167474,1.162162162,40.7487866,13.70205868,2.1464,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,0.962712
181.0122309,10.24,-36.08,142.8,-417.6057987,3.502064,1.504827586,34.66898892,10.25825415,0.9912,64.0,157.2,237.0,13.0,6.15,7.9,73.09,36.7,-0.85,153.0,1.59114
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.18548
156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,4.347911296,-0.034284582,45.3051226,8.902059979,2.8753,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.03982
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.20669
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.22825
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.20842
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,25.0,54.93804,197.0,-50.0,7.434,7.3,87.12,32.2,-0.85,165.1,1.12286
174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,4.969481633,1.734693878,38.59684834,10.25825415,0.7812,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.25078
169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.983015531,34.11764866,3.207106781,-0.2992,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.24631
154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,1.127684024,0.138115168,41.63504387,6.836984153,1.54,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,1.24434
154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,1.127684024,0.138115168,41.63504387,6.836984153,1.54,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,1.16595
154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,1.127684024,0.138115168,41.63504387,6.836984153,1.54,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.15139
148.3284262,-6.633217993,-80.28373702,354.7058824,-754.9589994,1.811200692,0.171033119,47.67586017,10.25835384,5.7822,28.0,58.693,163.0,112.0,7.64,8.912,73.09,36.7,-0.85,153.0,1.09134
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,31.0,69.723,187.0,41.0,5.999,5.91,79.1,12.4,0.68,115.0,1.24666
160.2661121,-32.1183432,-38.14792899,172.6153846,-444.3049007,-0.207481657,0.468639053,52.40379981,0.0,2.2618,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.18624
156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,4.347911296,-0.034284582,45.3051226,8.902059979,2.8753,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.14065
154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,1.127684024,0.138115168,41.63504387,6.836984153,1.54,49.0,114.818,193.0,29.0,5.786,7.31,73.09,36.7,-0.85,153.0,0.744735
189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,0.124438776,0.695578231,44.15534175,3.407582445,0.7798,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.23978
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,0.89237
163.9321569,-25.91676576,-32.25208086,192.5517241,-372.5024683,0.051761712,0.159334126,52.83150211,0.0,2.6519,48.0,112.41,158.0,-70.0,8.994,8.69,46.07,24.3,-0.31,78.37,0.583005
163.9321569,-25.91676576,-32.25208086,192.5517241,-372.5024683,0.051761712,0.159334126,52.83150211,0.0,2.6519,25.0,54.93804,197.0,-50.0,7.434,7.3,32.04,32.7,0.791,65.0,0.549316
156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,4.347911296,-0.034284582,45.3051226,8.902059979,2.8753,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.21212
156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,4.347911296,-0.034284582,45.3051226,8.902059979,2.8753,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,1.08751
160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-0.822288889,0.706349206,45.02791735,6.848610706,2.2362,27.0,58.93319,192.0,64.0,7.881,8.86,78.11,2.2,2.13,80.1,1.31103
