code,SMILES,Metal,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,SSA
AGEQEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Ag,11.67102397,160.87749,148.445057,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,1.955833333,-9.325384487,12.00939528,-0.891409465,7.243055556,-1.06712963,33.54745824,2.879117987,-4.921468526,12.13273414,0,0.4794,47,107.868,172,4.44,7.9,126,7.576,10.501,2863.97
AGONEQ,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Cd,11.67102397,160.87749,148.445057,10.23611111,-48.02083333,24.2843839,-141.9674605,184.8932439,1.955833333,-9.325384487,12.00939528,-0.891409465,7.243055556,-1.06712963,33.54745824,2.879117987,-4.921468526,12.13273414,0,0.4794,48,112.41,158,4.33,7.2,-70,8.994,8.69,1821.86
AGOVID,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,3.374485597,155.9322375,148.2805248,1,-29.5,-205.9892564,208.2792469,-366.6670057,1.392755102,-13.72631812,-12.47760781,0.049749785,7.25,-0.50862069,34.22076092,-0.675512816,-2.510820118,35.39237126,11.12690298,2.75,49,114.818,193,3.1,9.7,29,5.786,7.31,3150.45
AGOWAW,C1=CC(=CC=C1C(=O)O)C(=O)O,In,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,49,114.818,193,3.1,9.7,29,5.786,7.31,2471.11
AGOWEA,C1=CC(=CC=C1C(=O)O)C(=O)O,In,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,49,114.818,193,3.1,9.7,29,5.786,7.31,1131.115
AGOZED,C1=C(SC(=C1)C(=O)O)C(=O)O,Cd,5.619047619,156.638113,149.5941208,6.536296296,-11.92444444,15.3797224,-8.112786327,93.98528538,3.314403556,-18.63677144,5.342441632,-1.383984878,14.38222222,-0.518454106,63.03764033,2.971853306,-2.89055528,12.13273414,9.754294387,1.1445,48,112.41,158,4.33,7.2,-70,8.994,8.69,135.451
AHINIP,C[C@]1(CC[C@@H](C1(C)C)C(=O)O)C(=O)O,Zn,3.366207951,165.6143712,151.9174186,35.36,-100.72,654.8868704,1179.654679,38.68104163,3.780666667,-24.33625277,4.284486167,-0.162173509,8.106666667,-1.213493976,38.21050265,9.732241424,-5.863588822,25.18037091,0,1.5981,30,65.4,139,4.45,6.4,-60,9.394,7.134,132.321
AHISUI,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Pr,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,59,140.90766,239,3.1,28.2,93,5.464,6.77,126.194
AHITAP,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Nd,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,60,144.24,229,3.1,31.4,185,5.525,7.01,133.476
AHITET,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Gd,5.956521739,159.2036613,151.4614135,8.061728395,-18.48148148,-139.4970291,56.05095496,75.66463763,2.162469136,-13.6613542,6.506242911,-0.174834767,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,18.19910121,11.12690298,1.083,64,157.2,237,3.1,23.5,13,6.15,7.9,122.108
AJAKON,C1=CC(=CC=C1C(=O)O)N(C2=CC=C(C=C2)C(=O)O)C3=CC=C(C=C3)C(=O)O,Cd,3.406349206,157.218466,152.1448077,7.122769064,-45.40075717,-388.8149985,-209.4552147,-83.18651229,6.086295998,-11.4038192,6.851353018,0.025886317,7.223363981,-0.488180185,34.07653056,0.034641831,-2.309973103,72.79640482,16.69035448,4.251,48,112.41,158,4.33,7.2,-70,8.994,8.69,365.738
AJIDOP,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,154.2092758,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,32.94325277,-0.588251461,-3.083480907,87.97801257,16.69035448,5.7822,48,112.41,158,4.33,7.2,-70,8.994,8.69,1137
AJIFAD,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,154.2092758,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,32.94325277,-0.588251461,-3.083480907,87.97801257,16.69035448,5.7822,48,112.41,158,4.33,7.2,-70,8.994,8.69,788.387
AJIFUX,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,154.2092758,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,32.94325277,-0.588251461,-3.083480907,87.97801257,16.69035448,5.7822,48,112.41,158,4.33,7.2,-70,8.994,8.69,832.425
AJUNOK,C1=CC(=CC=C1C(=O)O)C(=O)O,Cd,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,48,112.41,158,4.33,7.2,-70,8.994,8.69,271.958
AJUPAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,4.874396135,159.2036613,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,36.15315736,0.602016249,-2.772311348,24.26546827,11.12690298,1.083,27,58.93319,192,4.3,7.5,64,7.881,8.86,119.314
ALICEE,C1=NC=NN1,Cu,6.089439787,180.2577321,176.7440981,-17.75,-29.75,-44.18353857,0,0,0,-0.600939763,0,-0.259486607,7.5,-4.25,35.48540873,-11.37954215,-20.29262072,0,0,-0.1953,29,63.55,140,4.48,6.7,119,7.726,8.933,657.648
ALICII,C1=NC=NN1,Cu,6.089439787,180.2577321,176.7440981,-17.75,-29.75,-44.18353857,0,0,0,-0.600939763,0,-0.259486607,7.5,-4.25,35.48540873,-11.37954215,-20.29262072,0,0,-0.1953,29,63.55,140,4.48,6.7,119,7.726,8.933,788.107
ALIFUY,C1=CN=CC=C1C2=CC=NC=C2,Cd,2.5,158.4882451,153.3959163,-28.08,-37.42,-168.53654,-97.35287001,0,-0.110664,5.60363627,17.32369574,-0.070175439,6.49,-0.984736842,31.17136264,-6.11030994,-4.654749251,35.39237126,0,2.1436,48,112.41,158,4.33,7.2,-70,8.994,8.69,131.308
ALIQUH,C(=O)(C(=O)O)O,Mn,1,170.6536449,177.302349,5.5,-3.5,-88.06441393,69.19802825,0,0,0.069150389,0,2.729166667,8.1875,-0.4375,37.64590369,5.4849955,-2.836109812,0,0,-0.8444,25,54.93804,197,3.72,9.4,-50,7.434,7.3,85.1496
ALOLIY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Mn,5.132132132,157.6910737,146.7305362,2,-90,-51.59703123,370.5888096,90.71483263,2.862975779,-21.43958889,14.31855002,-0.171428571,7.294117647,-1.285714286,34.06980826,1.543624954,-6.167148809,47.52510539,33.38070895,2.1464,25,54.93804,197,3.72,9.4,-50,7.434,7.3,64.6134
ALOLOD,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,In,10.64102564,160.5851153,151.5841872,-0.872576177,-66.48199446,-82.49993911,-171.0374962,76.06475325,-0.594210526,-15.36591958,7.749371444,-0.763399727,7.83933518,-1.899485556,36.5352815,1.746852814,-8.988056674,18.19910121,16.87641482,0.7886,49,114.818,193,3.1,9.7,29,5.786,7.31,2219.942769
ALUKIC,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,58,140.116,235,3.1,29.6,635,5.539,6.77,3679.06
ALUKOI,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Sm,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,62,150.4,229,3.1,28.8,16,5.644,7.52,3620.99
ALUKUO,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Eu,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,63,151.964,233,3.1,27.7,83,5.67,5.24,3622.64
ALULAV,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Gd,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,64,157.2,237,3.1,23.5,13,6.15,7.9,3555.28
ALULID,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,4.075757576,159.6194258,155.9330659,3.111111111,-32.44444444,-332.1829542,472.2680899,264.7800197,2.754513778,-27.84063931,12.11691264,-0.076911488,7.155555556,-0.549905838,33.72428172,-0.355741292,-2.662865825,48.53093655,11.12690298,3.4984,58,140.116,235,3.1,29.6,635,5.539,6.77,1828.23
AMILOY,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,915.091
AMILUE,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,933.15
AMIMAL,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,944.218
