code,SMILES,Metal,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,PV
AGEQEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Ag,11.67102397,162.5360885,10.23611111,-54.52083333,-6.847222222,56.21141975,-40.11342593,242.1141365,139.2319556,24.2843839,-141.9674605,-4.563447222,-9.325384487,-0.957799145,0.902369281,2.879117987,18.48932439,0,0,1.022962963,47,107.868,172,4.44,7.9,126,7.576,10.501,0.57728
AGONEQ,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Cd,11.67102397,162.5360885,10.23611111,-54.52083333,-6.847222222,56.21141975,-40.11342593,242.1141365,139.2319556,24.2843839,-141.9674605,-4.563447222,-9.325384487,-0.957799145,0.902369281,2.879117987,18.48932439,0,0,1.022962963,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.57966
AGOVID,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,3.374485597,173.1150206,1,-45.5,4.75,37.63945578,2.885487528,-50.24567372,530.5430741,-205.9892564,208.2792469,-1.999238776,-13.72631812,-1.116666667,0.305555556,-0.675512816,-14.10257714,0,11.12690298,12.84127362,49,114.818,193,3.1,9.7,29,5.786,7.31,0.68556
AGOWAW,C1=CC(=CC=C1C(=O)O)C(=O)O,In,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,49,114.818,193,3.1,9.7,29,5.786,7.31,0.6335
AGOWEA,C1=CC(=CC=C1C(=O)O)C(=O)O,In,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,49,114.818,193,3.1,9.7,29,5.786,7.31,0.4637
AGOZED,C1=C(SC(=C1)C(=O)O)C(=O)O,Cd,5.619047619,144.6504787,6.536296296,-34.58864198,-30.04246914,33.76701875,-31.83165219,17.1281794,289.8112614,15.3797224,-8.112786327,-1.919036,-18.63677144,-0.574554906,-0.58680776,2.971853306,93.98528538,9.754294387,0,2.548518519,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.13184
AHINIP,C[C@]1(CC[C@@H](C1(C)C)C(=O)O)C(=O)O,Zn,3.366207951,74.3426132,35.36,-73.52,-17.28,52.68552469,-13.46040123,31.78155834,485.8972351,654.8868704,1179.654679,-2.030144,-24.33625277,-0.604705882,-0.421651376,9.732241424,38.68104163,0,0,0,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.10162
AHISUI,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Pr,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,59,140.90766,239,3.1,28.2,93,5.464,6.77,0.12626
AHITAP,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Nd,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,60,144.24,229,3.1,31.4,185,5.525,7.01,0.1224
AHITET,C1=CC(=CC(=C1)C(=O)O)C(=O)O,Gd,5.956521739,122.4808275,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,0,0,5.195555556,64,157.2,237,3.1,23.5,13,6.15,7.9,0.12404
AJAKON,C1=CC(=CC=C1C(=O)O)N(C2=CC=C(C=C2)C(=O)O)C3=CC=C(C=C3)C(=O)O,Cd,3.406349206,195.1745665,7.122769064,-74.70308275,133.1195241,56.84442041,2.407427438,-499.7510135,345.1171454,-388.8149985,-209.4552147,-4.049456463,-11.4038192,-1.302707346,-0.35027428,0.034641831,-1.026993979,0,0,18.5093487,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.17842
AJIDOP,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,228.168847,-6.633217993,-80.28373702,-33.34256055,59.14071511,5.958477509,148.3771986,511.8979713,-272.2080821,911.6421651,-2.7619609,-21.2120641,-0.719723183,0.171033119,-0.588251461,-3.294897112,0,33.38070895,25.42293713,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.38174
