code,SMILES,Metal,AATS4dv,AATS4s,AATS0i,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC4dv,AATSC5dv,AATSC4Z,AATSC0v,AATSC1v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Density
AFOVIB,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Gd,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,64,157.2,237,3.1,23.5,13,6.15,7.9,1.19217
AFOVOH,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,Nd,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,60,144.24,229,3.1,31.4,185,5.525,7.01,1.14378
AGARUW,C1=C(NN=C1C(=O)O)C(=O)O,La,9.666666667,8.037037037,169.1951772,176.1382701,0.333333333,-28.11111111,111.3333333,-306.9042008,-78.32575297,102.3498192,2.400256444,1.737803091,-1.126984127,0.957264957,-2.301587302,33.71030341,7.295864613,34.65466009,6.816819862,-0.1939,57,138.9055,240,3.1,31.1,45,5.577,6.15,1.87078
AGEDIC,C(=C/C(=O)O)\C(=O)O,Ga,7.333333333,6.277777778,165.721098,185.1842767,0,-44,104,-133.043857,12.7780432,22.25755962,-1.5052,0.597289909,-0.166666667,4.625,-1,38.11370535,4.185616201,25.00348062,6.735810142,-0.2882,31,69.723,187,3.2,8.1,41,5.999,5.91,1.30954
AGEQEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Ag,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,47,107.868,172,4.44,7.9,126,7.576,10.501,0.77167
AGEQEK,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Ag,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,47,107.868,172,4.44,7.9,126,7.576,10.501,0.77167
AGONEQ,C1=C(C(=CC(=C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Cd,11.15384615,7.141025641,160.87749,171.0133921,10.23611111,-54.52083333,173.8333333,-222.0114448,-557.533204,-141.9674605,1.709758333,12.00939528,-0.957799145,0.902369281,-1.714209402,35.18924871,9.094236488,28.45859248,13.69989652,0.4794,48,112.41,158,4.33,7.2,-70,8.994,8.69,1.08253
AGOVID,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,In,4.466666667,4.274074074,155.9322375,157.6435699,1,-45.5,203,-407.0307408,-763.9385164,208.2792469,1.491045918,-12.47760781,-1.116666667,0.305555556,-2.116666667,46.91945671,4.889228509,23.78241367,6.836984153,2.75,49,114.818,193,3.1,9.7,29,5.786,7.31,0.64221
AGOWAW,C1=CC(=CC=C1C(=O)O)C(=O)O,In,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,49,114.818,193,3.1,9.7,29,5.786,7.31,0.746106
AGOWEA,C1=CC(=CC=C1C(=O)O)C(=O)O,In,5.125,5.819444444,159.2036613,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-1.742283951,-0.081052067,-2.804783951,42.93582616,5.672705364,26.3638878,6.827180347,1.083,49,114.818,193,3.1,9.7,29,5.786,7.31,1.19036
