mof,AATS7d,AATS8d,AATS8m,AATS5p,ATSC2d,ATSC3p,AATSC6dv,AATSC2s,AATSC0Z,GATS3c,GATS2dv,GATS7m,GATS1se,SpMAD_Dzm,AXp-2dv,NaasC,AMID_h,piPC3,piPC10,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
FOJLOH_clean,3.064516129,2.693333333,51.38287772,1.144950489,-9.333333333,-6.330363636,0.819444444,0.514759297,7.555555556,0.833610652,0.90969435,1.02243746,0.827957947,12.21758198,0.153417071,12,0.390671697,5.262690189,7.826817168,0.495255586,30,65.39,139,4.45,6.4,-60,9.394,7.134,73.0938,153,36.7,-1.01,0,1,0.22,,115,120,0.822249
HAMJOW_clean,2.708333333,2.794871795,76.26780615,1.303365908,-6.254942768,-3.278867393,-0.280897302,0.741848769,7.271592092,0.762348166,0.729216293,0.888561288,0.846053799,6.829375693,0.136645204,4,0.602978974,4.527208645,6.305818978,0.049382716,30,65.39,139,4.45,6.4,-60,9.394,7.134,73.0938,153,36.7,-1.01,0,1,0.22,,120,120,0.916107
DEPXAY_clean,1,2.241404418,53.11604345,0.790545033,-1.335640138,-1.466529157,-2.044668135,1.132240805,7.467128028,0.809553411,0.650273224,0,0.953963251,3.918430998,0.126972744,2,0.736403564,3.907010464,0,0,30,65.39,139,4.45,6.4,-60,9.394,7.134,73.0938,153,36.7,-1.01,0,1,0.22,,140,120,1.07008
LACJAC_clean,1,1,1.016064,0.946005319,-4.111111111,-2.226927701,0.485890653,1.284214414,7.728395062,0.633909222,0.590034965,1.956906782,0.879500501,4.157505902,0.136944358,2,0.569045616,3.876395828,0,0,30,65.39,139,4.45,6.4,-60,9.394,7.134,18.015,100,78.5,-1.38,1,1,0.82,,140,120,1.59158
CADPII_clean,1,1,1.016064,1.115081704,-4.836734694,-2.855387314,0.274376417,1.54399093,7.551020408,0.597938845,0.568115942,2.437880496,0.97234548,4.855187367,0.129261705,3,0.68388361,4.123093976,0,0,30,65.39,139,4.45,6.4,-60,9.394,7.134,18.015,100,78.5,-1.38,1,1,0.82,14,170,120,2.03698
ETAXIH_clean,1.56,1,12.322352,1.100868556,4.354166667,0.451857324,-3.320261438,1.177725101,8.388888889,0.70692937,0.386411665,1.378873083,0.925524214,5.026262831,0.145653121,3,0.779298941,4.005057871,0,0,30,65.39,139,4.45,6.4,-60,9.394,7.134,18.015,100,78.5,-1.38,1,1,0.82,,180,120,1.63541
OPENUT_clean,1,1,1.016064,0.946005319,-4.111111111,-2.226927701,0.485890653,1.284214414,7.728395062,0.633909222,0.590034965,1.956906782,0.879500501,4.157505902,0.136944358,2,0.569045616,3.876395828,0,0,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,,60,96,1.41267
DIVSUY_clean,2.479166667,2.216216216,60.95919576,1.341645583,-7.222684703,-3.076280144,0.13192697,1.142321367,7.336108221,0.584430417,0.636910434,1.377657567,0.848947508,6.68837105,0.138446647,5,0.489004272,4.605170186,7.293283376,0,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,,80,48,1.23081
KEWBUL_clean,1.830769231,1.8,54.15506471,1.307433077,-1.795918367,-2.895724059,0.24952381,0.793691756,7.319183673,0.531682903,0.658783574,1.554875202,0.751866946,6.270313634,0.159889752,6,0.32623337,4.757891273,7.789790948,0,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,,80,72,1.48949
MOTVOI_clean,2.018867925,1.903225806,61.01170997,1.284178293,-2.316804408,-1.905765763,0.906795225,0.760100674,7.401285583,0.639910685,0.639382863,1.474689528,0.842741755,6.224969773,0.144534574,6,0.410165174,4.757891273,7.789790948,0,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,,80,72,1.00037
EYACOX_clean,3.090909091,3.736842105,98.11949911,1.501205551,-8.570637119,-4.044724866,-0.503957262,1.216420987,6.620498615,0.615796991,0.620034313,1.119907272,0.893745261,8.990790765,0.132967162,6,0.489035194,4.923623917,8.067893744,0.148964391,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,1,85,17,0.961963
